"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240901","과천선","경마공원","14343","14409","20240904",""
"20240901","과천선","대공원","3823","3881","20240904",""
"20240901","과천선","과천","4070","3658","20240904",""
"20240901","과천선","정부과천청사","4897","5012","20240904",""
"20240901","과천선","인덕원","13052","13092","20240904",""
"20240901","과천선","평촌","6928","6357","20240904",""
"20240901","과천선","범계","16400","15716","20240904",""
"20240901","분당선","선릉","3304","4963","20240904",""
"20240901","분당선","한티","10887","10388","20240904",""
"20240901","분당선","도곡","2943","3010","20240904",""
"20240901","분당선","구룡","1659","1770","20240904",""
"20240901","분당선","개포동","2776","2709","20240904",""
"20240901","분당선","대모산입구","2738","2766","20240904",""
"20240901","분당선","수서","10957","11085","20240904",""
"20240901","분당선","복정","5","0","20240904",""
"20240901","분당선","수원","5958","5670","20240904",""
"20240901","분당선","서울숲","8026","7546","20240904",""
"20240901","분당선","압구정로데오","10652","11235","20240904",""
"20240901","분당선","강남구청","3413","4066","20240904",""
"20240901","분당선","선정릉","2361","2305","20240904",""
"20240901","분당선","가천대","4452","5218","20240904",""
"20240901","분당선","태평","8478","8093","20240904",""
"20240901","분당선","모란","11733","12320","20240904",""
"20240901","분당선","야탑","14455","14873","20240904",""
"20240901","분당선","서현","14526","14522","20240904",""
"20240901","분당선","수내","6510","6265","20240904",""
"20240901","분당선","정자","7708","8040","20240904",""
"20240901","분당선","미금","7997","8193","20240904",""
"20240901","분당선","오리","5669","4993","20240904",""
"20240901","분당선","이매","3767","3808","20240904",""
"20240901","분당선","보정","1208","1144","20240904",""
"20240901","분당선","죽전","8771","9958","20240904",""
"20240901","분당선","구성","3622","3701","20240904",""
"20240901","분당선","신갈","2202","2268","20240904",""
"20240901","분당선","기흥","5590","5244","20240904",""
"20240901","분당선","상갈","2996","3030","20240904",""
"20240901","분당선","청명","2298","2578","20240904",""
"20240901","분당선","영통","5723","5911","20240904",""
"20240901","분당선","망포","6707","7074","20240904",""
"20240901","분당선","매탄권선","2932","2848","20240904",""
"20240901","분당선","수원시청","8558","8579","20240904",""
"20240901","분당선","매교","2526","2500","20240904",""
"20240901","서해선","김포공항","2680","3407","20240904",""
"20240901","서해선","원종","3153","3003","20240904",""
"20240901","서해선","부천종합운동장","1453","1180","20240904",""
"20240901","수인선","고색","2145","2289","20240904",""
"20240901","수인선","오목천","2347","2342","20240904",""
"20240901","수인선","어천","1034","1118","20240904",""
"20240901","수인선","야목","249","213","20240904",""
"20240901","수인선","사리","3044","2578","20240904",""
